,회사명,거래소코드,회계년도,설비투자효율,총자본투자효율,부채구성비율,비유동장기적합률,재고자산보유기간,매출채권회수기간,매입채무회전률,경영자본회전률,경영자본순이익률,자기자본순이익률,자기자본증가율,년,key,부도
92,(주)네오팜,92730.0,2019/12,301.05,25.01,13.881992113334308,19.4,25.813295615275813,42.840375586854464,24.6,0.9,19.44,21.75,74.48,2019.0,927302020.0,0.0
93,(주)네오팜,92730.0,2020/12,309.01,22.87,11.614705284476331,16.59,27.883880825057297,44.1354292623942,21.66,0.67,14.34,15.55,10.61,2020.0,927302021.0,0.0
94,(주)네오펙트,290660.0,2019/12,-112.01,-29.32,60.89427554094768,153.66,71.15009746588694,258.8652482269504,76.4,0.18,-57.4,-66.63,-50.07,2019.0,2906602020.0,0.0
95,(주)네오펙트,290660.0,2020/12,-39.81,-8.32,45.48881438123923,105.58,157.32758620689657,176.32850241545896,196.5,0.08,-27.54,-41.03,67.96,2020.0,2906602021.0,0.0
96,(주)네온테크,306620.0,2019/12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,3066202020.0,0.0
97,(주)네온테크,306620.0,2020/12,-5.23,-1.97,53.24159072916842,98.66,42.640186915887845,82.2072072072072,8.38,0.7,-11.0,-19.15,0.0,2020.0,3066202021.0,0.0
98,(주)네이블커뮤니케이션즈,153460.0,2019/12,78.31,18.83,7.545570156846121,30.42,10.30782264896922,41.52445961319682,21.49,0.47,-1.41,-1.54,-1.53,2019.0,1534602020.0,0.0
99,(주)네이블커뮤니케이션즈,153460.0,2020/12,80.54,15.95,9.61665808255463,26.84,2.7735562310030395,81.83856502242152,15.99,0.46,2.22,2.38,2.4,2020.0,1534602021.0,0.0
100,(주)네이처셀,7390.0,2019/12,53.88,5.65,12.052411126624422,44.16,50.13736263736264,39.247311827956985,30.2,0.41,1.58,1.44,89.87,2019.0,73902020.0,0.0
101,(주)네이처셀,7390.0,2020/12,-208.11,-16.19,26.90145772594752,45.09,68.60902255639097,52.7456647398844,49.34,0.22,-25.24,-26.1,-23.45,2020.0,73902021.0,0.0
102,(주)네패스,33640.0,2019/12,57.0,19.68,48.76343182061355,97.81,10.570518389805963,38.020833333333336,20.33,1.39,9.01,12.16,21.26,2019.0,336402020.0,0.0
103,(주)네패스,33640.0,2020/12,53.4,14.53,44.64084779721888,81.47,17.98915722030557,49.4579945799458,13.13,1.08,7.41,8.99,6.7,2020.0,336402021.0,0.0
104,(주)네패스아크,330860.0,2019/12,0.0,0.0,80.08509781213021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,3308602020.0,0.0
105,(주)네패스아크,330860.0,2020/12,1.68,1.09,50.96495556931882,87.19,12.607944732297064,39.374325782092775,21.83,0.24,-12.54,-23.74,0.0,2020.0,3308602021.0,0.0
106,(주)넥스턴바이오사이언스,89140.0,2019/12,51.38,7.93,4.764666730056099,30.29,151.45228215767634,76.20041753653445,10.45,0.32,5.75,5.89,4.86,2019.0,891402020.0,0.0
107,(주)넥스턴바이오사이언스,89140.0,2020/12,-10.13,-1.63,2.599873176918199,33.48,287.40157480314963,193.1216931216932,5.34,0.11,-2.77,-2.47,-3.39,2020.0,891402021.0,0.0
108,(주)넥스트비티,65170.0,2019/12,-312.02,-10.64,16.61134920890665,60.23,54.88721804511278,31.4384151593454,90.85,0.92,-22.93,-16.29,-16.66,2019.0,651702020.0,0.0
109,(주)넥스트비티,65170.0,2020/12,-879.8,-21.35,11.25275220176141,72.72,51.55367231638418,40.9652076318743,71.56,0.91,-70.08,-35.6,37.07,2020.0,651702021.0,0.0
110,(주)넥스트아이,137940.0,2019/12,-64.9,-5.93,48.32512761651614,111.31,17.032197853476436,63.922942206654994,17.69,0.48,-17.66,-16.02,-15.64,2019.0,1379402020.0,0.0
111,(주)넥스트아이,137940.0,2020/12,769.97,45.49,27.140238995326943,79.66,17.480842911877396,80.75221238938055,11.7,0.3,86.98,67.51,109.92,2020.0,1379402021.0,0.0
112,(주)넥스트엔터테인먼트월드,160550.0,2019/12,9.96,2.91,46.504249772544064,103.63,0.2596035533680894,101.67130919220055,17.02,0.42,-3.35,-4.54,-4.44,2019.0,1605502020.0,0.0
113,(주)넥스트엔터테인먼트월드,160550.0,2020/12,70.11,6.47,39.2998006923319,110.4,0.1261373964550207,86.69833729216153,16.05,0.54,1.89,1.96,1.98,2020.0,1605502021.0,0.0
114,(주)넥스틴,348210.0,2019/12,60.16,9.55,91.53493949634796,117.32,368.6868686868687,57.03125,8.07,0.5,-14.11,-104.32,-55.38,2019.0,3482102020.0,0.0
115,(주)넥스틴,348210.0,2020/12,276.1,34.8,15.140936606380212,19.13,79.34782608695653,27.44360902255639,27.84,1.37,39.94,60.9,2843.25,2020.0,3482102021.0,0.0
116,(주)넵튠,217270.0,2019/12,-10184.04,-18.21,34.01677787020158,123.48,0.0,50.83565459610029,0.0,0.48,-137.05,-28.45,-9.2,2019.0,2172702020.0,0.0
117,(주)넵튠,217270.0,2020/12,32964.19,41.87,22.06062009669108,95.8,0.0,58.4,0.0,0.34,261.15,54.86,80.53,2020.0,2172702021.0,0.0
118,(주)넷게임즈,225570.0,2019/12,153.45,31.7,47.69966824774491,31.26,0.0,80.21978021978022,0.0,0.56,-33.36,-60.09,104.36,2019.0,2255702020.0,0.0
119,(주)넷게임즈,225570.0,2020/12,575.13,79.86,29.68713592747146,23.63,0.0,52.44252873563219,0.0,0.97,31.19,49.93,74.01,2020.0,2255702021.0,0.0
120,(주)노랑풍선,104620.0,2019/12,78.35,24.05,50.83416910129508,86.72,2.6386177980192294,67.84386617100373,0.0,0.76,-1.66,-3.43,39.76,2019.0,1046202020.0,0.0
121,(주)노랑풍선,104620.0,2020/12,14.97,6.59,37.79213689969914,96.32,10.055096418732782,130.82437275985663,0.0,0.22,-6.97,-12.19,-13.08,2020.0,1046202021.0,0.0
