key,운영,시설,기타
0462402007,2.0,0.0,0.0
0436302010,2.0,0.0,0.0
0605502006,2.0,0.0,0.0
1118202018,2.0,0.0,0.0
1386902019,2.0,0.0,0.0
2195502019,2.0,0.0,3.0
0656102011,2.0,0.0,0.0
2002302020,2.0,0.0,0.0
0352702006,2.0,0.0,0.0
네트2008,2.0,0.0,0.0
0329802015,2.0,0.0,1.0
0992202017,2.0,0.0,0.0
0428702009,2.0,0.0,0.0
0324202011,2.0,0.0,1.0
0366302006,2.0,0.0,0.0
0894802009,2.0,0.0,0.0
0501202006,2.0,0.0,0.0
0895302019,2.0,3.0,0.0
1386902020,2.0,0.0,0.0
0356202010,2.0,0.0,0.0
0805302017,2.0,0.0,1.0
0491802019,2.0,0.0,0.0
0373202006,2.0,0.0,1.0
0441802014,2.0,0.0,0.0
0324202009,2.0,0.0,0.0
0384202006,2.0,0.0,0.0
기술투자2007,2.0,0.0,0.0
0588202011,2.0,0.0,0.0
0522102008,2.0,0.0,0.0
0578802020,2.0,0.0,0.0
0403502016,2.0,0.0,3.0
0523102008,2.0,0.0,0.0
0354502007,2.0,0.0,0.0
1824002020,2.0,0.0,1.0
0836402017,2.0,0.0,0.0
0396702015,2.0,0.0,0.0
2721102020,2.0,0.0,0.0
0578802017,2.0,0.0,0.0
0469402008,2.0,0.0,2.0
0280402014,2.0,0.0,0.0
0370202010,2.0,0.0,0.0
0589002006,2.0,1.0,0.0
0658102006,2.0,0.0,0.0
0369102003,2.0,0.0,4.0
1138102016,2.0,0.0,0.0
0328602014,2.0,0.0,0.0
0464302010,2.0,0.0,0.0
1230102019,2.0,0.0,0.0
0494702013,2.0,0.0,0.0
0415902014,2.0,0.0,0.0
0380102016,2.0,0.0,0.0
0338802009,2.0,0.0,0.0
0960402019,2.0,0.0,0.0
1583102016,2.0,0.0,1.0
0361802003,2.0,0.0,0.0
0575402008,2.0,0.0,0.0
0362702007,2.0,0.0,1.0
네트2007,2.0,0.0,0.0
0567302005,2.0,0.0,0.0
0359502006,2.0,0.0,0.0
0977802018,2.0,0.0,2.0
1011702011,2.0,0.0,0.0
0187002014,2.0,0.0,0.0
E&M2020,2.0,0.0,0.0
0888102008,2.0,0.0,0.0
1154502019,2.0,0.0,1.0
0671302004,2.0,0.0,0.0
0015402015,2.0,0.0,0.0
0534502003,2.0,0.0,1.0
0319502008,2.0,0.0,0.0
0491802017,2.0,0.0,1.0
0262602018,2.0,0.0,0.0
0334302018,2.0,0.0,0.0
0464302007,2.0,0.0,0.0
3272602020,2.0,0.0,0.0
1842302020,2.0,0.0,1.0
0787802012,2.0,0.0,0.0
0415902020,2.0,0.0,1.0
0303502015,2.0,0.0,0.0
0501102004,2.0,0.0,1.0
0368402009,2.0,0.0,0.0
0651802013,2.0,1.0,0.0
0664102018,2.0,0.0,1.0
0352102004,2.0,0.0,0.0
0525102011,2.0,0.0,0.0
0663302008,2.0,0.0,0.0
0476002003,2.0,1.0,0.0
0161002019,2.0,0.0,0.0
0975202017,2.0,0.0,0.0
0671302011,2.0,0.0,0.0
0388302009,2.0,0.0,0.0
0383202008,2.0,0.0,0.0
0387202006,2.0,0.0,0.0
0606702009,2.0,0.0,0.0
0540902013,2.0,0.0,0.0
0645502013,2.0,0.0,0.0
0388102005,2.0,0.0,0.0
0664302007,2.0,0.0,0.0
0651502019,2.0,0.0,0.0
0304202009,2.0,0.0,0.0
1435402019,2.0,0.0,0.0
0329802020,2.0,0.0,1.0
0667002006,2.0,0.0,0.0
0318602015,2.0,0.0,0.0
0328602012,2.0,0.0,0.0
1155302018,2.0,0.0,0.0
1508402019,2.0,0.0,3.0
0366102005,2.0,0.0,1.0
0383402019,2.0,0.0,0.0
0440602009,2.0,0.0,0.0
0667902012,2.0,0.0,0.0
0320402006,2.0,0.0,0.0
0597202007,2.0,0.0,0.0
0383902007,2.0,0.0,0.0
0334302016,2.0,0.0,0.0
0370202009,2.0,0.0,0.0
0133102018,2.0,0.0,0.0
0829202020,2.0,0.0,0.0
0494702012,2.0,0.0,0.0
0801402009,2.0,0.0,0.0
0542202018,2.0,0.0,1.0
0856802008,2.0,0.0,1.0
0952702019,2.0,2.0,0.0
0725302008,2.0,0.0,0.0
0439102008,2.0,0.0,0.0
0585302018,2.0,0.0,1.0
0588202012,2.0,0.0,0.0
0822702014,2.0,0.0,1.0
0369202007,2.0,0.0,0.0
0822702009,2.0,0.0,0.0
0362802006,2.0,0.0,0.0
0255502010,2.0,0.0,0.0
E&M2018,2.0,0.0,4.0
0603002019,2.0,0.0,2.0
0377002006,2.0,1.0,0.0
0730102008,2.0,0.0,0.0
0151702008,2.0,0.0,0.0
0583702013,2.0,0.0,0.0
0283002014,2.0,0.0,0.0
0868302016,2.0,0.0,0.0
0511702011,2.0,0.0,0.0
0560802013,2.0,0.0,0.0
0609002019,2.0,0.0,2.0
