,번호,시간,회사명,종목코드,공시제목,제출인
69,50,2013-03-11 17:23,아이에이,38880,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이에이
70,49,2013-03-08 18:13,디브이에스,46400,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,루트원플러스
71,48,2013-03-05 17:27,오리엔탈정공,14940,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,오리엔탈정공
72,47,2013-02-18 17:08,마이스코,88700,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,마이스코
73,46,2013-02-15 15:06,엠텍비젼,74000,회생절차개시결정,에스피엠씨
74,45,2013-01-30 16:44,엠텍비젼,74000,회생절차개시신청,에스피엠씨
75,44,2013-01-18 15:39,삼우이엠씨,26250,회생절차개시결정,삼우이엠씨
76,43,2012-12-17 11:10,삼우이엠씨,26250,회생절차개시신청,삼우이엠씨
77,42,2012-11-02 16:30,엘컴텍,37950,회생절차개시결정,엘컴텍
78,41,2012-10-18 16:06,엘컴텍,37950,회생절차개시신청,엘컴텍
79,40,2012-09-21 16:26,SSCP,71660,회생절차개시신청,에스에스씨피
80,39,2012-09-18 18:01,SSCP,71660,부도발생,에스에스씨피
81,38,2012-08-01 17:21,금강제강,105070,부도발생,금강제강
82,37,2012-05-14 18:06,엔스퍼트,98400,파산신청,엔스퍼트
83,36,2012-04-27 16:30,동양텔레콤,7150,회생절차개시결정,동양텔레콤
84,35,2012-04-13 17:46,비앤비성원,15200,회생절차개시신청,성원
85,34,2012-04-02 07:18,동양텔레콤,7150,회생절차개시신청,동양텔레콤
86,33,2012-03-30 18:02,미주제강,2670,회생절차개시신청,미주제강
87,32,2012-03-23 17:37,엘앤씨피,15390,파산신청 기각,엘앤씨피
88,31,2012-03-21 16:36,보광티에스,66690,파산신청,보광티에스
89,30,2012-03-15 19:32,평안물산,37240,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,평안물산
90,29,2012-03-15 18:24,에이프로테크놀로지,45470,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,에이프로테크놀로지
91,28,2012-03-15 18:06,엘앤씨피,15390,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엘앤씨피
92,27,2012-03-15 17:28,얍엑스,60230,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,얍엑스
93,26,2012-03-15 16:52,엔스퍼트,98400,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엔스퍼트
94,25,2012-03-15 16:47,우경,25920,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,우경
95,24,2012-03-15 16:46,어울림 네트,42820,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,어울림 네트웍스
96,23,2012-03-15 16:39,쎄니트,37760,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,쎄니트
97,22,2012-03-15 16:28,씨앤케이인터,39530,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,씨앤케이인터내셔널
98,21,2012-03-15 16:22,씨앤케이인터,39530,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],씨앤케이인터내셔널
99,20,2012-03-15 15:59,아큐텍,13780,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아큐텍
0,101,2017-12-27 17:26,에스에프씨,112240,파산신청 기각,에스에프씨
1,100,2017-12-21 11:07,이엠앤아이,83470,파산신청 기각,이엠앤아이
2,99,2017-12-08 18:52,이엠앤아이,83470,파산신청,이엠앤아이
3,98,2017-11-17 17:37,에스에프씨,112240,파산신청,에스에프씨
4,97,2017-11-14 17:28,레이젠,47440,파산신청,디케이씨
5,96,2017-11-03 15:46,행남사,8800,파산신청 기각,행남사
6,95,2017-09-19 15:06,레이젠,47440,파산신청 기각,디케이씨
7,94,2017-09-14 18:24,행남사,8800,파산신청,행남사
8,93,2017-09-06 11:16,엔에스브이,95300,회생절차개시신청,엔에스브이
9,92,2017-08-21 16:17,레이젠,47440,파산신청,디케이씨
10,91,2017-05-02 07:07,레이젠,47440,파산신청 기각,디케이씨
11,90,2017-04-28 07:03,레이젠,47440,파산신청 기각,디케이씨
12,89,2017-03-23 14:16,디에스티,33430,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,디에스티
13,88,2017-03-16 17:39,신양오라컴,86830,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,신양오라컴디스플레이
14,87,2017-03-16 16:49,코세스,89890,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,코세스
15,86,2017-03-15 17:07,엔에스브이,95300,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엔에스브이
16,85,2017-03-15 16:04,한국정밀기계,101680,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,한국정밀기계
17,84,2017-03-09 17:26,오리엔탈정공,14940,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,오리엔탈정공
18,83,2017-03-02 09:35,WI,73570,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,더블유아이
19,82,2017-02-28 17:59,WI,73570,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],더블유아이
20,81,2017-02-28 17:45,씨엔플러스,115530,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,씨엔플러스
21,80,2017-02-23 10:54,우전,52270,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,우전
22,79,2017-02-16 16:21,테라사이언스,73640,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,테라사이언스
23,78,2017-02-16 15:39,신양오라컴,86830,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],신양오라컴디스플레이
24,77,2017-02-16 15:11,케이에스피,73010,회생계획 인가[정],케이에스피
25,76,2017-02-16 11:18,디에스티,33430,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],디에스티
26,75,2017-02-15 15:23,썬코어,51170,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,썬코어
27,74,2017-02-15 13:53,나노스,151910,회생절차 종결결정,나노스
28,73,2017-02-14 07:09,씨엔플러스,115530,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],씨엔플러스
29,72,2017-02-10 17:54,스틸플라워,87220,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,스틸플라워
30,71,2017-02-10 17:48,중앙디앤엠,51980,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,중앙디앤엠
31,70,2017-02-09 17:59,우전,52270,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],우전
32,69,2017-02-09 17:08,오리엔탈정공,14940,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],오리엔탈정공
33,68,2017-02-09 16:14,한국정밀기계,101680,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],한국정밀기계
34,67,2017-02-07 17:53,나노스,151910,회생절차 종결신청,나노스
35,66,2017-02-01 17:34,코세스,89890,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],코세스
36,65,2016-12-13 10:24,에스에스컴텍,36500,파산신청 기각,에스에스컴텍
37,64,2016-12-09 15:15,나노스,151910,회생계획 인가,나노스
38,63,2016-11-14 16:30,에스에스컴텍,36500,파산신청,에스에스컴텍
39,62,2016-09-20 16:10,에스에스컴텍,36500,파산신청 기각,에스에스컴텍
40,61,2016-09-08 16:48,케이에스피,73010,회생절차개시결정,케이에스피
41,60,2016-08-09 17:49,에스에스컴텍,36500,파산신청,에스에스컴텍
42,59,2016-07-26 15:28,케이에스피,73010,[정정]회생절차개시신청,케이에스피
43,58,2016-07-22 18:16,케이에스피,73010,회생절차개시신청[정],케이에스피
44,57,2016-05-24 12:44,시너지이노베이션,48870,[정정]회생절차 종결결정,시너지이노베이션
45,56,2016-05-23 18:45,시너지이노베이션,48870,회생절차 종결결정[정],시너지이노베이션
46,55,2016-05-20 15:18,시너지이노베이션,48870,회생절차 종결신청,시너지이노베이션
47,54,2016-05-18 17:33,나노스,151910,회생절차개시결정,나노스
48,53,2016-04-18 18:43,나노스,151910,회생절차개시신청,나노스
49,52,2016-03-22 21:25,플렉스컴,65270,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,플렉스컴
50,51,2016-03-22 17:59,에스에스컴텍,36500,파산신청 기각,에스에스컴텍
51,50,2016-03-21 19:33,시너지이노베이션,48870,회생계획 인가,시너지이노베이션
52,49,2016-03-15 07:23,신양오라컴,86830,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,신양오라컴디스플레이
53,48,2016-02-29 17:33,씨엘인터내셔널,37340,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,씨엘인터내셔널
54,47,2016-02-29 17:19,시너지이노베이션,48870,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,시너지이노베이션
55,46,2016-02-29 17:16,플렉스컴,65270,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],플렉스컴
56,45,2016-02-26 17:22,코데즈컴바인,47770,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,코데즈컴바인
57,44,2016-02-22 16:11,코데즈컴바인,47770,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],코데즈컴바인
58,43,2016-02-17 07:07,대한그린파워,60900,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,대한그린파워
59,42,2016-02-15 18:00,피엘에이,82390,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,피엘에이
60,41,2016-02-12 17:55,우전,52270,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,우전
